zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,7,-0.495,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,8,-0.835,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,9,-0.506,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,10,-0.873,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,1,-0.942,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,2,-0.678,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,3,-0.69,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,4,-0.889,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,5,-1.075,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,6,-1.478,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,7,-0.837,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,8,-0.842,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,9,-0.706,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,07_02_ethene_glycol,10,-0.696,-0.8833,-0.617329328,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,1,-0.727,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,2,-0.907,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,3,-0.691,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,4,-0.865,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,5,-0.753,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,6,-0.489,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,7,-0.654,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,8,-0.859,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,9,-0.81,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_01_propylene_glycol,10,-0.81,-0.7565,-0.623189432,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,1,-1.054,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,2,-0.617,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,3,-1.007,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,4,-0.722,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,5,-1.181,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,6,-0.744,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,7,-0.996,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,8,-0.651,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,9,-0.752,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_02_propylene_glycol,10,-0.766,-0.849,-0.530420712,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,1,-0.667,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,2,-1.098,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,3,-0.595,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,4,-1.372,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,5,-0.789,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,6,-1.006,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,7,-1.02,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,8,-0.989,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,9,-0.866,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,08_05_propylene_glycol_mid,10,-1.08,-0.9482,-0.622838216,,
FAU,water_pure-hydrophobic,09_formaldehyde,1,-0.3,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,2,-0.317,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,3,-0.264,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,4,-0.392,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,5,-0.405,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,6,-0.369,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,7,-0.308,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,8,-0.28,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,9,-0.383,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,09_formaldehyde,10,-0.212,-0.323,-0.229578409,,
FAU,water_pure-hydrophobic,10_acetaldehyde,1,-0.548,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,2,-0.383,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,3,-0.603,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,4,-0.671,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,5,-0.637,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,6,-0.379,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,7,-0.436,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,8,-0.604,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,9,-0.459,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,10_acetaldehyde,10,-0.427,-0.5147,-0.314000546,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,1,-0.495,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,2,-1.278,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,3,-0.985,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,4,-1.026,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,5,-0.95,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,6,-0.408,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,7,-0.803,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,8,-0.732,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,9,-1.007,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_01_glycerol_intermediate,10,-0.773,-0.8457,-0.352582057,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,1,-0.918,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,2,-0.758,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,3,-1.346,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,4,-0.915,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,5,-0.647,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,6,-0.627,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,7,-1.1,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,8,-0.745,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,9,-0.955,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,11_02_glycerol_intermediate,10,-0.939,-0.895,-0.657144648,,
FAU,water_pure-hydrophobic,12_01_isopropanol,1,-0.51,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,2,-0.614,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,3,-0.61,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,4,-0.527,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,5,-0.429,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,6,-0.666,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,7,-0.806,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,8,-0.406,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,9,-0.478,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_01_isopropanol,10,-0.378,-0.5424,-0.335028628,,
FAU,water_pure-hydrophobic,12_02_isopropanol,1,-0.321,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,2,-0.426,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,3,-0.485,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,4,-0.388,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,5,-0.661,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,6,-0.376,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,7,-0.559,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,8,-0.565,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,9,-0.523,-0.4884,-0.409005124,,
FAU,water_pure-hydrophobic,12_02_isopropanol,10,-0.58,-0.4884,-0.409005124,,
