zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_120_water_1080-hydrophobic,04_3c_aldehyde,7,-0.41,-0.4524,-0.22606278
FAU,methanol_120_water_1080-hydrophobic,04_3c_aldehyde,8,-0.394,-0.4524,-0.22606278
FAU,methanol_120_water_1080-hydrophobic,04_3c_aldehyde,9,-0.472,-0.4524,-0.22606278
FAU,methanol_120_water_1080-hydrophobic,04_3c_aldehyde,10,-0.622,-0.4524,-0.22606278
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,1,-1.027,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,2,-0.891,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,3,-1.11,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,4,-0.788,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,5,-0.828,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,6,-0.966,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,7,-0.793,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,8,-1.078,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,9,-0.56,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,06_02_glycerol,10,-0.978,-0.9019,-0.500456784
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,1,-0.664,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,2,-0.656,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,3,-0.687,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,4,-0.487,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,5,-0.79,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,6,-0.469,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,7,-0.383,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,8,-0.746,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,9,-0.512,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,07_01_ethene_glycol,10,-0.633,-0.6027,-0.49536632
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,1,-1.209,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,2,-0.937,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,3,-0.7,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,4,-0.933,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,5,-0.722,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,6,-1.057,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,7,-1.135,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,8,-1.134,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,9,-1.021,-0.9747,-0.592412504
FAU,methanol_120_water_1080-hydrophobic,08_05_propylene_glycol,10,-0.899,-0.9747,-0.592412504
